DD,TK,2205,Istanbul / Atatürk,,1950,1955,01,,04.08.2015
DD,TK,2201,Istanbul / Atatürk,,0835,0835,01,,05.08.2015
DD,PC,0279,Istanbul / S. Gökçen,,0920,0920,01,,05.08.2015
DD,TK,7131,Ankara,,1405,1405,01,,05.08.2015
DD,TK,2205,Istanbul / Atatürk,,1950,1950,01,,05.08.2015
DD,TK,2201,Istanbul / Atatürk,,0835,0835,01,,06.08.2015
DD,TK,2205,Istanbul / Atatürk,,1950,1950,01,,06.08.2015
DD,TK,2201,Istanbul / Atatürk,,0835,0835,01,,07.08.2015
DD,PC,0279,Istanbul / S. Gökçen,,0910,0910,01,,07.08.2015
DD,TK,7131,Ankara,,1405,1405,01,,07.08.2015
DD,TK,2205,Istanbul / Atatürk,,1950,1950,01,,07.08.2015
DD,TK,2201,Istanbul / Atatürk,,0835,0835,01,,08.08.2015
DD,TK,2205,Istanbul / Atatürk,,1950,1950,01,,08.08.2015
DD,TK,2201,Istanbul / Atatürk,,0835,0835,01,,09.08.2015
DD,PC,0279,Istanbul / S. Gökçen,,0910,0910,01,,09.08.2015
DD,TK,7131,Ankara,,1405,1405,01,,09.08.2015
DD,TK,2205,Istanbul / Atatürk,,1950,1950,01,,09.08.2015
DD,TK,2201,Istanbul / Atatürk,,0835,0835,01,,10.08.2015
DD,PC,0279,Istanbul / S. Gökçen,,0910,0910,01,,10.08.2015
DD,TK,7131,Ankara,,1405,1405,01,,10.08.2015
