DD,THY,7024 ,ANTALYA             ,                    ,0845,0845,   ,                    ,05.08.2015
DD,THY,7126 ,GAZİANTEP           ,                    ,0845,0845,   ,                    ,05.08.2015
DD,THY,7132 ,SAMSUN              ,                    ,0850,0850,   ,                    ,05.08.2015
DD,THY,7090 ,KARS                ,                    ,0855,0855,   ,                    ,05.08.2015
DD,THY,7088 ,MUŞ                 ,                    ,0900,0900,   ,                    ,05.08.2015
DD,PC ,101  ,İSTANBUL-SAW        ,                    ,0905,0905,   ,                    ,05.08.2015
DD,THY,7046 ,MARDİN              ,                    ,0905,0905,   ,                    ,05.08.2015
DD,THY,7243 ,İSTANBUL-SAW        ,                    ,0905,0905,   ,                    ,05.08.2015
DD,AB ,4802 ,İSTANBUL-SAW        ,                    ,0905,0905,   ,                    ,05.08.2015
DD,TK ,2123 ,İSTANBUL            ,                    ,0930,0930,   ,                    ,05.08.2015
DD,TK ,2965 ,İSTANBUL-SAW        ,                    ,0945,0945,   ,                    ,05.08.2015
DD,TK ,2109 ,İSTANBUL            ,                    ,1030,1030,   ,                    ,05.08.2015
DD,THY,7018 ,ANTALYA             ,                    ,1040,1040,   ,                    ,05.08.2015
DD,TK ,2135 ,İSTANBUL            ,                    ,1100,1100,   ,                    ,05.08.2015
DD,BRJ,605  ,BALIKESİR           ,                    ,1140,1140,   ,                    ,05.08.2015
DD,PC ,105  ,İSTANBUL-SAW        ,                    ,1150,1150,   ,                    ,05.08.2015
DD,AB ,4804 ,İSTANBUL-SAW        ,                    ,1150,1150,   ,                    ,05.08.2015
DD,TK ,2139 ,İSTANBUL            ,                    ,1200,1200,   ,                    ,05.08.2015
DD,THY,7140 ,DİYARBAKIR          ,                    ,1215,1215,   ,                    ,05.08.2015
DD,THY,7136 ,ORDU-GİRESUN        ,                    ,1215,1215,   ,                    ,05.08.2015
DD,THY,7006 ,İZMİR               ,                    ,1215,1215,   ,                    ,05.08.2015
DD,THY,7182 ,ÇORLU               ,                    ,1220,1220,   ,                    ,05.08.2015
DD,THY,7178 ,ÇANAKKALE           ,                    ,1220,1220,   ,                    ,05.08.2015
DD,THY,7078 ,ERZİNCAN            ,                    ,1220,1220,   ,                    ,05.08.2015
DD,THY,7026 ,ANTALYA             ,                    ,1225,1225,   ,                    ,05.08.2015
DD,THY,7130 ,KAHRAMANMARAŞ       ,                    ,1225,1225,   ,                    ,05.08.2015
DD,THY,7245 ,İSTANBUL-SAW        ,                    ,1240,1240,   ,                    ,05.08.2015
DD,TK ,2143 ,İSTANBUL            ,                    ,1300,1300,   ,                    ,05.08.2015
DD,THY,7096 ,AĞRI                ,                    ,1325,1325,   ,                    ,05.08.2015
DD,TK ,2117 ,İSTANBUL            ,                    ,1335,1335,   ,                    ,05.08.2015
DD,THY,7084 ,VAN                 ,                    ,1335,1335,   ,                    ,05.08.2015
DD,THY,7098 ,IĞDIR               ,                    ,1340,1340,   ,                    ,05.08.2015
DD,THY,7102 ,ADANA               ,                    ,1400,1400,   ,                    ,05.08.2015
DD,TK ,2147 ,İSTANBUL            ,                    ,1400,1400,   ,                    ,05.08.2015
DD,THY,7008 ,İZMİR               ,                    ,1405,1405,   ,                    ,05.08.2015
DD,THY,7028 ,ANTALYA             ,                    ,1405,1405,   ,                    ,05.08.2015
DD,THY,7190 ,ŞIRNAK              ,                    ,1405,1405,   ,                    ,05.08.2015
DD,PC ,109  ,İSTANBUL-SAW        ,                    ,1450,1450,   ,                    ,05.08.2015
DD,TK ,2151 ,İSTANBUL            ,                    ,1500,1500,   ,                    ,05.08.2015
DD,BRJ,609  ,ANTALYA             ,                    ,1530,1530,   ,                    ,05.08.2015
DD,THY,7010 ,İZMİR               ,                    ,1555,1555,   ,                    ,05.08.2015
DD,THY,7064 ,TRABZON             ,                    ,1555,1555,   ,                    ,05.08.2015
DD,THY,7144 ,DİYARBAKIR          ,                    ,1555,1555,   ,                    ,05.08.2015
DD,THY,7030 ,ANTALYA             ,                    ,1600,1600,   ,                    ,05.08.2015
DD,TK ,2155 ,İSTANBUL            ,                    ,1600,1600,   ,                    ,05.08.2015
DD,THY,7247 ,İSTANBUL-SAW        ,                    ,1600,1600,   ,                    ,05.08.2015
DD,THY,7152 ,BODRUM              ,                    ,1600,1600,   ,                    ,05.08.2015
DD,THY,7052 ,ELAZIĞ              ,                    ,1600,1600,   ,                    ,05.08.2015
DD,THY,7128 ,ADIYAMAN            ,                    ,1605,1605,   ,                    ,05.08.2015
DD,THY,7110 ,HATAY               ,                    ,1610,1610,   ,                    ,05.08.2015
DD,PC ,2133 ,İZMİR               ,                    ,1625,1625,   ,                    ,05.08.2015
DD,TK ,2159 ,İSTANBUL            ,                    ,1700,1700,   ,                    ,05.08.2015
DD,PC ,107  ,İSTANBUL-SAW        ,                    ,1720,1720,   ,                    ,05.08.2015
DD,THY,7251 ,İSTANBUL-SAW        ,                    ,1730,1730,   ,                    ,05.08.2015
DD,THY,7086 ,VAN                 ,                    ,1800,1800,   ,                    ,05.08.2015
DD,TK ,2163 ,İSTANBUL            ,                    ,1800,1800,   ,                    ,05.08.2015
DD,THY,7253 ,İSTANBUL-SAW        ,                    ,1815,1815,   ,                    ,05.08.2015
DD,THY,7012 ,İZMİR               ,                    ,1830,1830,   ,                    ,05.08.2015
DD,TK ,2167 ,İSTANBUL            ,                    ,1900,1900,   ,                    ,05.08.2015
DD,THY,7066 ,TRABZON             ,                    ,1935,1935,   ,                    ,05.08.2015
DD,THY,7074 ,ERZURUM             ,                    ,1935,1935,   ,                    ,05.08.2015
DD,THY,7146 ,DİYARBAKIR          ,                    ,1935,1935,   ,                    ,05.08.2015
DD,THY,7255 ,İSTANBUL-SAW        ,                    ,1940,1940,   ,                    ,05.08.2015
DD,THY,7176 ,DALAMAN             ,                    ,1940,1940,   ,                    ,05.08.2015
DD,THY,7154 ,BODRUM              ,                    ,1940,1940,   ,                    ,05.08.2015
DD,THY,7170 ,BALIKESİR           ,                    ,1945,1945,   ,                    ,05.08.2015
DD,THY,7124 ,GAZİANTEP           ,                    ,1945,1945,   ,                    ,05.08.2015
DD,THY,7014 ,İZMİR               ,                    ,1945,1945,   ,                    ,05.08.2015
DD,THY,7104 ,ADANA               ,                    ,1950,1950,   ,                    ,05.08.2015
DD,PC ,113  ,İSTANBUL-SAW        ,                    ,1950,1950,   ,                    ,05.08.2015
DD,THY,7032 ,ANTALYA             ,                    ,1955,1955,   ,                    ,05.08.2015
DD,TK ,2171 ,İSTANBUL            ,                    ,2000,2000,   ,                    ,05.08.2015
DD,THY,7134 ,SAMSUN              ,                    ,2000,2000,   ,                    ,05.08.2015
DD,PC ,2466 ,BODRUM              ,                    ,2010,2010,   ,                    ,05.08.2015
DD,TK ,2981 ,İSTANBUL-SAW        ,                    ,2100,2100,   ,                    ,05.08.2015
DD,THY,7002 ,İZMİR               ,                    ,2125,2125,   ,                    ,05.08.2015
DD,TK ,2175 ,İSTANBUL            ,                    ,2130,2130,   ,                    ,05.08.2015
DD,PC ,111  ,İSTANBUL-SAW        ,                    ,2135,2135,   ,                    ,05.08.2015
DD,AB ,4808 ,İSTANBUL-SAW        ,                    ,2135,2135,   ,                    ,05.08.2015
DD,TK ,2979 ,İSTANBUL-SAW        ,                    ,2155,2155,   ,                    ,05.08.2015
DD,TK ,2101 ,ANTALYA             ,                    ,2200,2200,   ,                    ,05.08.2015
