DD,TK ,2042 ,KONYA               ,                    ,2330,2330,112,                    ,04.08.2015
DD,TK ,2530 ,BODRUM              ,                    ,2340,2340,103,                    ,04.08.2015
DD,TK ,2190 ,ANKARA              ,                    ,2350,2350,101,                    ,04.08.2015
DD,NZ ,4886 ,ANKARA              ,                    ,2350,2350,101,                    ,04.08.2015
DD,SK ,3474 ,ANKARA              ,                    ,2350,2350,101,                    ,04.08.2015
DD,TK ,2256 ,HATAY               ,                    ,2355,2355,107,                    ,04.08.2015
DD,TK ,2572 ,DALAMAN             ,                    ,0005,0005,   ,                    ,05.08.2015
DD,PC ,2819 ,İZMİR               ,                    ,0010,0010,   ,                    ,05.08.2015
DD,TK ,2838 ,TRABZON             ,                    ,0015,0015,   ,                    ,05.08.2015
DD,TK ,2580 ,DENİZLİ             ,                    ,0020,0020,   ,                    ,05.08.2015
DD,TP ,8808 ,KAYSERİ             ,                    ,0020,0020,   ,                    ,05.08.2015
DD,TK ,2022 ,KAYSERİ             ,                    ,0020,0020,   ,                    ,05.08.2015
DD,TK ,2612 ,DİYARBAKIR          ,                    ,0045,0045,   ,                    ,05.08.2015
DD,TK ,2538 ,BODRUM              ,                    ,0110,0110,   ,                    ,05.08.2015
DD,TK ,2476 ,ADANA               ,                    ,0115,0115,   ,                    ,05.08.2015
DD,SK ,3446 ,İZMİR               ,                    ,0130,0130,   ,                    ,05.08.2015
DD,TK ,2354 ,İZMİR               ,                    ,0130,0130,   ,                    ,05.08.2015
DD,TK ,3791 ,VAN                 ,                    ,0130,0130,   ,                    ,05.08.2015
DD,TK ,3780 ,VAN                 ,                    ,0130,0130,   ,                    ,05.08.2015
DD,TK ,2818 ,SAMSUN              ,                    ,0130,0130,   ,                    ,05.08.2015
DD,TK ,2428 ,ANTALYA             ,                    ,0130,0130,   ,                    ,05.08.2015
DD,SK ,3458 ,ANTALYA             ,                    ,0130,0130,   ,                    ,05.08.2015
DD,TK ,2236 ,GAZİANTEP           ,                    ,0130,0130,   ,                    ,05.08.2015
DD,NZ ,4892 ,ANKARA              ,                    ,0135,0135,   ,                    ,05.08.2015
DD,TK ,2192 ,ANKARA              ,                    ,0135,0135,   ,                    ,05.08.2015
DD,TK ,2436 ,ANTALYA             ,                    ,0400,0400,   ,                    ,05.08.2015
DD,TK ,2220 ,GAZİANTEP           ,                    ,0500,0500,   ,                    ,05.08.2015
DD,8Q ,150  ,İZMİR               ,                    ,0550,0550,   ,                    ,05.08.2015
DD,TK ,2806 ,SAMSUN              ,                    ,0550,0550,   ,                    ,05.08.2015
DD,TK ,5958 ,ANKARA              ,                    ,0600,0600,   ,                    ,05.08.2015
DD,TK ,2576 ,DENİZLİ             ,                    ,0600,0600,   ,                    ,05.08.2015
DD,NZ ,4884 ,ANKARA              ,                    ,0610,0610,   ,                    ,05.08.2015
DD,SK ,3466 ,ANKARA              ,                    ,0610,0610,   ,                    ,05.08.2015
DD,TK ,2116 ,ANKARA              ,                    ,0610,0610,   ,                    ,05.08.2015
DD,TK ,2454 ,ADANA               ,                    ,0610,0610,   ,                    ,05.08.2015
DD,TK ,2504 ,BODRUM              ,                    ,0615,0615,   ,                    ,05.08.2015
DD,TK ,2032 ,KONYA               ,                    ,0615,0615,   ,                    ,05.08.2015
DD,TK ,2826 ,TRABZON             ,                    ,0615,0615,   ,                    ,05.08.2015
DD,TK ,2630 ,MALATYA             ,                    ,0615,0615,   ,                    ,05.08.2015
DD,TK ,2200 ,KAHRAMANMARAŞ       ,                    ,0615,0615,   ,                    ,05.08.2015
DD,TK ,2552 ,DALAMAN             ,                    ,0620,0620,   ,                    ,05.08.2015
DD,8Q ,220  ,ANTALYA             ,                    ,0625,0625,   ,                    ,05.08.2015
DD,SK ,3450 ,ANTALYA             ,                    ,0625,0625,   ,                    ,05.08.2015
DD,TK ,2408 ,ANTALYA             ,                    ,0625,0625,   ,                    ,05.08.2015
DD,TK ,2246 ,ŞANLIURFA           ,                    ,0630,0630,   ,                    ,05.08.2015
DD,KK ,090  ,GAZİANTEP           ,                    ,0635,0635,   ,                    ,05.08.2015
DD,TK ,2746 ,VAN                 ,                    ,0640,0640,   ,                    ,05.08.2015
DD,TK ,2010 ,KAYSERİ             ,                    ,0655,0655,   ,                    ,05.08.2015
DD,TK ,2674 ,MARDİN              ,                    ,0655,0655,   ,                    ,05.08.2015
DD,KK ,030  ,ADANA               ,                    ,0700,0700,   ,                    ,05.08.2015
DD,TK ,2122 ,ANKARA              ,                    ,0700,0700,   ,                    ,05.08.2015
DD,KK ,040  ,BODRUM              ,                    ,0700,0700,   ,                    ,05.08.2015
DD,TK ,2310 ,İZMİR               ,                    ,0700,0700,   ,                    ,05.08.2015
DD,NZ ,4888 ,ANKARA              ,                    ,0700,0700,   ,                    ,05.08.2015
DD,SK ,3475 ,ANKARA              ,                    ,0700,0700,   ,                    ,05.08.2015
DD,KK ,010  ,ANTALYA             ,                    ,0700,0700,   ,                    ,05.08.2015
DD,SK ,3442 ,İZMİR               ,                    ,0700,0700,   ,                    ,05.08.2015
DD,TK ,2006 ,NEVŞEHİR            ,                    ,0705,0705,   ,                    ,05.08.2015
DD,TK ,2642 ,ELAZIĞ              ,                    ,0710,0710,   ,                    ,05.08.2015
DD,TK ,2602 ,DİYARBAKIR          ,                    ,0715,0715,   ,                    ,05.08.2015
DD,TK ,2704 ,ERZURUM             ,                    ,0715,0715,   ,                    ,05.08.2015
DD,KK ,020  ,İZMİR               ,                    ,0735,0735,   ,                    ,05.08.2015
DD,KK ,008  ,ANTALYA             ,                    ,0800,0800,   ,                    ,05.08.2015
DD,TK ,2108 ,ANKARA              ,                    ,0800,0800,   ,                    ,05.08.2015
DD,TK ,2312 ,İZMİR               ,                    ,0800,0800,   ,                    ,05.08.2015
DD,TK ,2224 ,GAZİANTEP           ,                    ,0830,0830,   ,                    ,05.08.2015
DD,SK ,3482 ,ANTALYA             ,                    ,0855,0855,   ,                    ,05.08.2015
DD,SQ ,6210 ,ANTALYA             ,                    ,0855,0855,   ,                    ,05.08.2015
DD,TK ,2410 ,ANTALYA             ,                    ,0855,0855,   ,                    ,05.08.2015
DD,8Q ,126  ,BODRUM              ,                    ,0900,0900,   ,                    ,05.08.2015
DD,SQ ,6238 ,ANKARA              ,                    ,0900,0900,   ,                    ,05.08.2015
DD,TK ,2134 ,ANKARA              ,                    ,0900,0900,   ,                    ,05.08.2015
DD,PC ,2811 ,İZMİR               ,                    ,0900,0900,   ,                    ,05.08.2015
DD,SQ ,6216 ,İZMİR               ,                    ,0900,0900,   ,                    ,05.08.2015
DD,TK ,2658 ,SİVAS               ,                    ,0900,0900,   ,                    ,05.08.2015
DD,TK ,2316 ,İZMİR               ,                    ,0900,0900,   ,                    ,05.08.2015
DD,TK ,2670 ,HAKKARI             ,                    ,0905,0905,   ,                    ,05.08.2015
DD,TK ,2458 ,ADANA               ,                    ,0910,0910,   ,                    ,05.08.2015
DD,SQ ,6258 ,ADANA               ,                    ,0910,0910,   ,                    ,05.08.2015
DD,TK ,2604 ,DİYARBAKIR          ,                    ,0920,0920,   ,                    ,05.08.2015
DD,TK ,2508 ,BODRUM              ,                    ,0920,0920,   ,                    ,05.08.2015
DD,TK ,2648 ,BİNGÖL              ,                    ,0925,0925,   ,                    ,05.08.2015
DD,TK ,2554 ,DALAMAN             ,                    ,0925,0925,   ,                    ,05.08.2015
DD,TK ,2842 ,SINOP               ,                    ,0925,0925,   ,                    ,05.08.2015
DD,8Q ,080  ,TRABZON             ,                    ,0930,0930,   ,                    ,05.08.2015
DD,TK ,2592 ,ALANYA GAZİPASA     ,                    ,0935,0935,   ,                    ,05.08.2015
DD,8Q ,012  ,ADANA               ,                    ,0935,0935,   ,                    ,05.08.2015
DD,TK ,2252 ,HATAY               ,                    ,0940,0940,   ,                    ,05.08.2015
DD,TK ,2026 ,KAYSERİ             ,                    ,0950,0950,   ,                    ,05.08.2015
DD,SQ ,6226 ,KAYSERİ             ,                    ,0950,0950,   ,                    ,05.08.2015
DD,TK ,2718 ,IĞDIR               ,                    ,0955,0955,   ,                    ,05.08.2015
DD,SQ ,6282 ,ANKARA              ,                    ,1000,1000,   ,                    ,05.08.2015
DD,TK ,2730 ,AĞRI                ,                    ,1000,1000,   ,                    ,05.08.2015
DD,TK ,2318 ,İZMİR               ,                    ,1000,1000,   ,                    ,05.08.2015
