DD,THY,7007 ,ANKARA              ,                    ,1405,1405,238,                    ,05.08.2015
DD,XQ ,9114 ,KARS                ,                    ,1410,1410,121,                    ,05.08.2015
DD,PC ,4415 ,İSTANBUL-SAW        ,                    ,1415,1415,236,                    ,05.08.2015
DD,PC ,2212 ,SAMSUN              ,                    ,1425,1425,122,                    ,05.08.2015
DD,XQ ,9184 ,VAN                 ,                    ,1440,1440,242,                    ,05.08.2015
DD,PC ,2132 ,ANKARA              ,                    ,1445,1445,235,                    ,05.08.2015
DD,PC ,2814 ,İSTANBUL            ,                    ,1450,1450,239,                    ,05.08.2015
DD,PC ,2456 ,TRABZON             ,                    ,1500,1500,237,                    ,05.08.2015
DD,TK ,2325 ,İSTANBUL            ,                    ,1500,1500,241,                    ,05.08.2015
DD,PC ,119  ,İSTANBUL-SAW        ,                    ,1515,1515,236,                    ,05.08.2015
DD,XQ ,9598 ,ANTALYA             ,                    ,1520,1520,240,                    ,05.08.2015
DD,THY,7009 ,ANKARA              ,                    ,1555,1555,242,                    ,05.08.2015
DD,TK ,2331 ,İSTANBUL            ,                    ,1600,1600,238,                    ,05.08.2015
DD,PC ,4425 ,İSTANBUL-SAW        ,                    ,1645,1645,235,                    ,05.08.2015
DD,TK ,2327 ,İSTANBUL            ,                    ,1650,1650,239,                    ,05.08.2015
DD,THY,7011 ,ANKARA              ,                    ,1745,1745,242,                    ,05.08.2015
DD,TK ,2329 ,İSTANBUL            ,                    ,1800,1800,240,                    ,05.08.2015
DD,PC ,2816 ,İSTANBUL            ,                    ,1805,1805,235,                    ,05.08.2015
DD,PC ,2136 ,ANKARA              ,                    ,1830,1830,236,                    ,05.08.2015
DD,PC ,4123 ,İSTANBUL-SAW        ,                    ,1835,1835,237,                    ,05.08.2015
DD,TK ,2333 ,İSTANBUL            ,                    ,1900,1900,239,                    ,05.08.2015
DD,8Q ,157  ,İSTANBUL            ,                    ,1920,1920,121,                    ,05.08.2015
DD,XQ ,9292 ,ANTALYA             ,                    ,1925,1925,241,                    ,05.08.2015
DD,KK ,027  ,İSTANBUL            ,                    ,1930,1930,242,                    ,05.08.2015
DD,TK ,2913 ,İSTANBUL-SAW        ,                    ,1935,1935,238,                    ,05.08.2015
DD,PC ,4417 ,İSTANBUL-SAW        ,                    ,1935,1935,236,                    ,05.08.2015
DD,PC ,2894 ,ADANA               ,                    ,1940,1940,235,                    ,05.08.2015
DD,TK ,2335 ,İSTANBUL            ,                    ,2000,2000,240,                    ,05.08.2015
DD,XQ ,9394 ,ERZURUM             ,                    ,2010,2010,123,                    ,05.08.2015
DD,XQ ,9282 ,DİYARBAKIR          ,                    ,2010,2010,122,                    ,05.08.2015
DD,XQ ,9270 ,TRABZON             ,                    ,2010,2010,161,                    ,05.08.2015
DD,PC ,121  ,İSTANBUL-SAW        ,                    ,2010,2010,241,                    ,05.08.2015
DD,XQ ,9228 ,GAZİANTEP           ,                    ,2010,2010,121,                    ,05.08.2015
DD,XQ ,9264 ,İSTANBUL-SAW        ,                    ,2015,2015,162,                    ,05.08.2015
DD,THY,7013 ,ANKARA              ,                    ,2020,2020,237,                    ,05.08.2015
DD,XQ ,9306 ,ADANA               ,                    ,2020,2020,239,                    ,05.08.2015
DD,TK ,2915 ,İSTANBUL-SAW        ,                    ,2050,2050,238,                    ,05.08.2015
DD,TK ,2337 ,İSTANBUL            ,                    ,2100,2100,242,                    ,05.08.2015
DD,YB ,3438 ,İSTANBUL-SAW        ,                    ,2100,2100,236,                    ,05.08.2015
DD,THY,7015 ,ANKARA              ,                    ,2135,2135,241,                    ,05.08.2015
DD,PC ,123  ,İSTANBUL-SAW        ,                    ,2140,2140,235,                    ,05.08.2015
DD,TK ,2339 ,İSTANBUL            ,                    ,2200,2200,240,                    ,05.08.2015
